draw_idx,number,momentum,gap,markov,pattern,algebraic,lag1,lag2,hmmState,resonance,hit_in_5
106,20,0.0208,0.6260,0.3187,0.3375,0,0,1,0.5000,0,1
106,21,0.0677,0.5357,0.2353,0.2436,0,0,0,0.5000,0,0
106,22,-0.2363,0.7101,0.2397,0.2026,0,0,1,0.5000,0,1
106,23,-0.2539,1.0000,0.3000,0.2762,0,0,0,0.5000,0,1
106,24,0.4323,0.2361,0.2417,0.2727,0,0,0,0.5000,0,1
106,25,-0.2676,0.8047,0.2482,0.2842,0,0,1,0.5000,1,0
106,26,-0.2578,1.0000,0.2652,0.2687,0,0,0,0.5000,0,1
106,27,-0.2539,1.0000,0.2769,0.2788,0,0,0,0.5000,0,1
106,28,0.1029,0.4625,0.1949,0.1892,0,0,0,0.5000,0,1
106,29,-0.2402,0.9741,0.2764,0.2325,0,0,0,0.5000,0,1
106,30,-0.2578,0.7782,0.3106,0.2651,0,0,0,0.5000,0,0
106,31,0.0814,0.2520,0.2171,0.3418,0,0,0,0.5000,0,1
106,32,-0.2676,1.0000,0.2701,0.2746,0,0,0,0.5000,0,1
106,33,0.0618,0.0000,0.2174,0.2000,0,1,0,0.5000,0,1
106,34,-0.2578,1.0000,0.2500,0.2353,0,1,0,0.5000,0,1
106,35,0.1243,0.2146,0.2056,0.1343,0,0,0,0.5000,0,0
106,36,-0.2695,1.0000,0.2681,0.2228,0,1,0,0.5000,0,1
106,37,0.1048,0.2275,0.2479,0.2419,0,1,0,0.5000,0,1
106,38,0.0853,0.2475,0.2441,0.3562,0,0,1,0.5000,0,0
106,39,0.0716,0.0000,0.3158,0.2794,0,1,1,0.5000,0,1
106,40,-0.2422,1.0000,0.2016,0.2361,0,0,1,0.5000,0,1
106,41,0.3893,0.2770,0.2394,0.3043,0,0,1,0.5000,0,1
106,42,0.0853,0.4951,0.2362,0.2609,0,1,0,0.5000,0,1
106,43,0.1029,0.0000,0.2479,0.2985,0,1,0,0.5000,0,1
106,44,-0.2402,0.7219,0.2683,0.2329,0,0,1,0.5000,0,1
106,45,-0.2422,1.0000,0.2581,0.2311,0,0,1,0.5000,0,1
106,46,-0.2461,1.0000,0.2619,0.2579,0,0,1,0.5000,0,1
106,47,-0.2480,1.0000,0.2283,0.2286,0,0,0,0.5000,0,1
106,48,0.1048,0.0000,0.2241,0.2353,0,1,0,0.5000,0,1
106,49,0.0872,0.5020,0.2302,0.1972,0,0,0,0.5000,0,0
108,1,0.1353,0.0000,0.1800,0.2034,0,0,0,0.5000,0,1
108,2,-0.2510,1.0000,0.2656,0.2283,0,1,1,0.5000,0,1
108,3,-0.2510,1.0000,0.2188,0.2794,0,0,0,0.5000,0,1
108,4,0.0980,0.4741,0.2833,0.2273,0,0,0,0.5000,0,1
108,5,0.0941,0.0000,0.2810,0.2581,0,0,0,0.5000,0,1
108,6,0.4431,0.2224,0.1930,0.2778,0,1,0,0.5000,0,1
108,7,0.0686,0.2638,0.2370,0.3125,0,1,0,0.5000,0,1
108,8,-0.2196,0.6673,0.2411,0.2137,0,0,0,0.5000,0,1
108,9,-0.2941,0.8851,0.3200,0.3125,0,0,1,0.5000,0,0
108,10,0.0725,0.2609,0.2932,0.2258,0,0,0,0.5000,0,0
108,11,0.0373,0.5929,0.2450,0.2692,0,0,1,0.5000,0,1
108,12,0.4314,0.0000,0.2857,0.1429,0,1,0,0.5000,0,1
108,13,0.3902,0.0000,0.2571,0.3226,0,1,0,0.5000,0,1
108,14,0.0765,0.2564,0.2290,0.2338,0,0,1,0.5000,0,1
108,15,0.0863,0.2510,0.2143,0.2436,0,0,0,0.5000,0,1
108,16,0.1176,0.2154,0.2091,0.1045,0,0,0,0.5000,0,1
108,17,0.0980,0.0000,0.2689,0.2576,0,0,0,0.5000,1,0
108,18,-0.2706,1.0000,0.3696,0.2396,0,0,1,0.5000,0,0
108,19,0.0706,0.5247,0.3358,0.3030,0,1,0,0.5000,0,1
108,20,0.0216,0.6233,0.3145,0.3375,0,1,1,0.5000,0,1
108,21,0.0667,0.5357,0.2353,0.2436,0,0,0,0.5000,0,0
108,22,-0.2353,0.7069,0.2417,0.2026,0,0,1,0.5000,0,1
108,23,-0.2549,1.0000,0.3000,0.2762,0,1,0,0.5000,0,1
108,24,0.4314,0.2361,0.2417,0.2727,0,0,0,0.5000,0,1
108,25,-0.2667,0.8004,0.2426,0.2842,0,1,0,0.5000,1,1
108,26,-0.2588,1.0000,0.2652,0.2714,0,0,0,0.5000,0,1
108,27,-0.2549,1.0000,0.2769,0.2788,0,1,0,0.5000,0,1
108,28,0.1020,0.4625,0.1949,0.1892,0,0,1,0.5000,0,1
108,29,-0.2412,0.9741,0.2764,0.2345,0,0,0,0.5000,0,0
108,30,-0.2588,0.7782,0.3106,0.2617,0,0,1,0.5000,0,0
108,31,0.0804,0.2520,0.2171,0.3333,0,1,0,0.5000,0,1
108,32,-0.2686,1.0000,0.2701,0.2775,0,0,0,0.5000,0,1
108,33,0.0627,0.0000,0.2190,0.2000,0,1,0,0.5000,0,1
108,34,-0.2569,1.0000,0.2519,0.2315,0,0,0,0.5000,0,1
108,35,0.1235,0.2146,0.2056,0.1343,0,0,0,0.5000,0,0
108,36,-0.2686,1.0000,0.2701,0.2239,0,0,0,0.5000,0,1
108,37,0.1059,0.2268,0.2500,0.2419,0,0,1,0.5000,0,1
108,38,0.0863,0.2461,0.2381,0.3562,0,1,1,0.5000,0,1
108,39,0.0745,0.0000,0.3053,0.2794,0,1,0,0.5000,0,1
108,40,-0.2412,1.0000,0.2033,0.2361,0,0,0,0.5000,0,1
108,41,0.3902,0.2767,0.2411,0.3043,0,0,0,0.5000,0,1
108,42,0.0863,0.4960,0.2381,0.2647,0,0,0,0.5000,0,1
108,43,0.1039,0.0000,0.2500,0.2985,0,0,0,0.5000,0,1
108,44,-0.2392,0.7217,0.2705,0.2329,0,0,0,0.5000,0,1
108,45,-0.2412,1.0000,0.2520,0.2311,0,1,1,0.5000,0,1
108,46,-0.2451,1.0000,0.2640,0.2579,0,0,0,0.5000,0,1
108,47,-0.2490,1.0000,0.2283,0.2286,0,1,0,0.5000,0,1
108,48,0.1059,0.0000,0.2261,0.2353,0,0,0,0.5000,0,1
108,49,0.0863,0.5020,0.2302,0.1972,0,0,0,0.5000,0,0
110,1,0.1345,0.0000,0.1800,0.2034,0,0,0,0.5000,0,0
110,2,-0.2480,0.9940,0.2540,0.2283,0,1,0,0.5000,0,1
110,3,-0.2520,1.0000,0.2188,0.2822,0,0,0,0.5000,0,0
110,4,0.0971,0.4741,0.2833,0.2273,0,0,0,0.5000,0,0
110,5,0.0932,0.0000,0.2810,0.2581,0,0,0,0.5000,0,0
110,6,0.4442,0.2258,0.1947,0.2778,0,0,0,0.5000,0,1
110,7,0.0696,0.2628,0.2388,0.3165,0,1,0,0.5000,0,1
110,8,-0.2205,0.6673,0.2411,0.2154,0,0,0,0.5000,0,1
110,9,-0.2933,0.8880,0.3221,0.3125,0,0,0,0.5000,0,1
110,10,0.0715,0.2609,0.2932,0.2295,0,1,0,0.5000,0,0
110,11,0.0381,0.5901,0.2400,0.2692,0,1,1,0.5000,0,1
110,12,0.4324,0.0000,0.2881,0.1429,0,0,0,0.5000,0,1
110,13,0.3911,0.0000,0.2590,0.3226,0,0,0,0.5000,0,1
110,14,0.0774,0.2570,0.2308,0.2368,0,0,0,0.5000,0,1
110,15,0.0853,0.2510,0.2143,0.2436,0,0,0,0.5000,0,0
110,16,0.1168,0.2154,0.2091,0.0909,0,1,0,0.5000,0,1
110,17,0.0971,0.0000,0.2689,0.2576,0,0,0,0.5000,1,0
110,18,-0.2697,1.0000,0.3723,0.2396,0,0,1,0.5000,0,1
110,19,0.0715,0.5312,0.3383,0.3077,0,0,0,0.5000,0,1
110,20,0.0243,0.6178,0.3057,0.3375,0,1,0,0.5000,0,1
110,21,0.0656,0.5357,0.2353,0.2436,0,0,1,0.5000,0,0
110,22,-0.2343,0.7024,0.2353,0.2026,0,1,0,0.5000,0,1
110,23,-0.2539,1.0000,0.3023,0.2775,0,0,0,0.5000,0,1
110,24,0.4304,0.2361,0.2417,0.2727,0,0,0,0.5000,0,0
110,25,-0.2657,0.7992,0.2444,0.2842,0,0,1,0.5000,1,1
110,26,-0.2598,1.0000,0.2652,0.2677,0,0,1,0.5000,0,1
110,27,-0.2539,1.0000,0.2791,0.2802,0,0,0,0.5000,0,1
110,28,0.1030,0.4622,0.1966,0.1918,0,0,0,0.5000,0,1
110,29,-0.2421,0.9741,0.2764,0.2321,0,0,0,0.5000,0,0
110,30,-0.2579,0.7831,0.3130,0.2617,0,0,0,0.5000,0,1
110,31,0.0814,0.2510,0.2188,0.3377,0,1,0,0.5000,0,1
110,32,-0.2697,1.0000,0.2701,0.2804,0,0,0,0.5000,0,0
110,33,0.0636,0.0000,0.2206,0.2000,0,0,0,0.5000,0,1
110,34,-0.2579,1.0000,0.2519,0.2315,0,1,0,0.5000,0,1
110,35,0.1227,0.2146,0.2056,0.1343,0,0,0,0.5000,0,0
110,36,-0.2697,1.0000,0.2701,0.2261,0,0,0,0.5000,0,1
110,37,0.1070,0.2257,0.2522,0.2295,0,0,1,0.5000,0,1
110,38,0.0892,0.2450,0.2339,0.3562,0,0,0,0.5000,0,1
110,39,0.0755,0.0000,0.3077,0.2794,0,0,0,0.5000,0,1
110,40,-0.2421,1.0000,0.2033,0.2361,0,1,0,0.5000,0,1
110,41,0.3891,0.2767,0.2411,0.3043,0,1,0,0.5000,0,1
110,42,0.0853,0.4960,0.2381,0.2647,0,0,1,0.5000,0,1
110,43,0.1030,0.0000,0.2500,0.2985,0,0,0,0.5000,0,1
110,44,-0.2402,0.7217,0.2705,0.2294,0,0,1,0.5000,0,1
110,45,-0.2382,1.0000,0.2479,0.2311,0,0,1,0.5000,0,1
110,46,-0.2461,1.0000,0.2640,0.2603,0,0,0,0.5000,0,1
